"","Stname","date","n","total_cases"
"941","Washington","2000",40,9
"942","Washington","2001",40,9
"943","Washington","2002",40,11
"944","Washington","2003",40,7
"945","Washington","2004",40,14
"946","Washington","2005",40,13
"947","Washington","2006",40,8
"948","Washington","2007",40,12
"949","Washington","2008",40,23
"950","Washington","2009",40,16
"951","Washington","2010",40,16
"952","Washington","2011",40,19
"953","Washington","2012",40,15
"954","Washington","2013",40,18
"955","Washington","2014",40,15
"956","Washington","2015",40,24
"957","Washington","2016",40,31
"958","Washington","2017",40,37
"959","Washington","2018",40,20
"960","Washington","2019",40,43
"961","West Virginia","2000",56,35
"962","West Virginia","2001",56,16
"963","West Virginia","2002",56,26
"964","West Virginia","2003",56,31
"965","West Virginia","2004",56,38
"966","West Virginia","2005",56,61
"967","West Virginia","2006",56,28
"968","West Virginia","2007",56,84
"969","West Virginia","2008",56,135
"970","West Virginia","2009",56,201
"971","West Virginia","2010",56,145
"972","West Virginia","2011",56,118
"973","West Virginia","2012",56,97
"974","West Virginia","2013",56,143
"975","West Virginia","2014",56,136
"976","West Virginia","2015",56,289
"977","West Virginia","2016",56,368
"978","West Virginia","2017",56,648
"979","West Virginia","2018",56,671
"980","West Virginia","2019",56,885
"981","Wisconsin","2000",73,631
"982","Wisconsin","2001",73,597
"983","Wisconsin","2002",73,1090
"984","Wisconsin","2003",73,740
"985","Wisconsin","2004",73,1144
"986","Wisconsin","2005",73,1459
"987","Wisconsin","2006",73,1466
"988","Wisconsin","2007",73,1814
"989","Wisconsin","2008",73,2034
"990","Wisconsin","2009",73,2589
"991","Wisconsin","2010",73,3488
"992","Wisconsin","2011",73,3649
"993","Wisconsin","2012",73,1766
"994","Wisconsin","2013",73,1872
"995","Wisconsin","2014",73,1361
"996","Wisconsin","2015",73,1894
"997","Wisconsin","2016",73,2295
"998","Wisconsin","2017",73,3000
"999","Wisconsin","2018",73,1869
"1000","Wisconsin","2019",73,2178
"1001","Wyoming","2000",24,3
"1002","Wyoming","2001",24,1
"1003","Wyoming","2002",24,2
"1004","Wyoming","2003",24,2
"1005","Wyoming","2004",24,4
"1006","Wyoming","2005",24,3
"1007","Wyoming","2006",24,1
"1008","Wyoming","2007",24,3
"1009","Wyoming","2008",24,3
"1010","Wyoming","2009",24,3
"1011","Wyoming","2010",24,0
"1012","Wyoming","2011",24,2
"1013","Wyoming","2012",24,4
"1014","Wyoming","2013",24,3
"1015","Wyoming","2014",24,3
"1016","Wyoming","2015",24,1
"1017","Wyoming","2016",24,1
"1018","Wyoming","2017",24,4
"1019","Wyoming","2018",24,0
"1020","Wyoming","2019",24,5
